ticket_id,photo,lat,long,timestamp,type,subdistrict,district,car_count
2022-C2UQCZ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/5aaaa273c4a2cf0f1437c91acc29ab971cf442f3.jpg,13.71893,100.56245,2022-06-01 00:30:33.693332+00:00,"{จราจร,ถนน}",แขวงคลองเตย,เขตคลองเตย,11
2022-G7K7V6,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/73ba40fbc0330447a5016f4071e8ca78644e8380.jpg,13.69252,100.52551,2022-06-01 00:44:22.127874+00:00,"{จราจร,สะพาน}",แขวงบางโพงพาง,เขตยานนาวา,11
2022-BK884K,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/d52bee78e9f168901441597e27d2e6af9410cc2c.jpg,13.71036,100.40944,2022-06-01 00:56:39.887442+00:00,"{จราจร,ถนน}",แขวงบางแค,เขตบางแค,6
2022-G6CYB2,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/39a38333b6488922af51ec2f2b04c6ad279e2101.jpg,13.71848,100.51974,2022-06-01 01:06:43.183342+00:00,{จราจร},แขวงยานนาวา,เขตสาทร,7
2022-HH8FFL,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/37e2795ca3e2eceabafcb457b5f00ac6b0f59d9d.jpg,13.79381,100.50551,2022-06-01 01:28:54.046870+00:00,"{จราจร,ถนน}",แขวงบางอ้อ,เขตบางพลัด,4
2022-HPQPEP,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/455fe78c0f595d4a8b8d0844e759a8fe8960f12a.jpg,13.7047,100.33263,2022-06-01 01:36:15.767171+00:00,{จราจร},แขวงหนองค้างพลู,เขตหนองแขม,6
2022-4W222W,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/7def9fdd5ac4f7d192e2d4a028be95760a87acd5.jpg,13.71749,100.55807,2022-06-01 01:39:22.775171+00:00,{จราจร},แขวงคลองเตย,เขตคลองเตย,4
2022-8GDWC3,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/f3bbac500587e2c184366071fa65c480aa0e064b.jpg,13.81735,100.72134,2022-06-01 02:01:48.526799+00:00,"{ถนน,จราจร}",แขวงมีนบุรี,เขตมีนบุรี,6
2022-84PLMW,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/26b239e4a03f3b447b5fae9006a54872dbfc7149.jpg,13.73763,100.60874,2022-06-01 02:10:17.966741+00:00,{จราจร},แขวงสวนหลวง,เขตสวนหลวง,10
2022-P3LXL2,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/199e03edd882d9cd61c74f7e68e898edae57f4bf.jpg,13.75244,100.58926,2022-06-01 02:45:47.903047+00:00,{จราจร},แขวงบางกะปิ,เขตห้วยขวาง,5
2022-9WN9HF,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/2699d39e0766f678e59fb7c91a8f485d8fb13a44.jpg,13.77982,100.68485,2022-06-01 02:52:19.932493+00:00,{จราจร},แขวงสะพานสูง,เขตสะพานสูง,1
2022-8KCL26,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/aa55d7398b11fa6e54a9dcf057d1819cd9b7ce4d.jpg,13.69567,100.40742,2022-06-01 03:26:12.609634+00:00,"{จราจร,ถนน}",แขวงหลักสอง,เขตบางแค,5
2022-94QXUA,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/4299f99101ca8d476bd04df9d6317156937dc651.jpg,13.71954,100.522,2022-06-01 03:28:37.755441+00:00,"{จราจร,ถนน}",แขวงสีลม,เขตบางรัก,8
2022-AP2CWE,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/fe443e9a6885f377c4549c3474f0f3f81d2c26a9.jpg,13.76284,100.64548,2022-06-01 03:35:53.054062+00:00,"{จราจร,ถนน,สะพาน}",แขวงหัวหมาก,เขตบางกะปิ,4
2022-92B44V,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/0256ec3d7400efbadb89babd2cdcbf612974fdde.jpg,13.87578,100.59685,2022-06-01 03:36:44.767293+00:00,{จราจร},แขวงอนุสาวรีย์,เขตบางเขน,5
2022-MAPRPQ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/97c078e69a68b0e5dd8ec9438b5694bf842f7f4a.jpg,13.7308,100.58652,2022-06-01 03:45:30.951019+00:00,{จราจร},แขวงคลองตันเหนือ,เขตวัฒนา,4
2022-4RCFG4,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/cb4c0ba27816f01b9fca255e5966110cd1feac18.jpg,13.80832,100.82257,2022-06-01 03:45:38.034675+00:00,"{จราจร,ถนน}",แขวงลำผักชี,เขตหนองจอก,4
2022-FR9BX3,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/5bbf3472e3defd4402378aef3f6f62d88f5b54a0.jpg,13.72159,100.78537,2022-06-01 04:03:39.076524+00:00,"{จราจร,ถนน}",แขวงลาดกระบัง,เขตลาดกระบัง,6
2022-8TRLPC,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/e3166920f83d4a9c4fa748a2db45b72c07fba220.jpg,13.68257,100.51774,2022-06-01 05:53:02.091223+00:00,"{จราจร,สะพาน}",แขวงบางโพงพาง,เขตยานนาวา,6
2022-86UY3M,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/812f4f8c8fa12f1e159d03cdaaddfba99a8995e3.jpg,13.84178,100.7048,2022-06-01 06:23:40.114411+00:00,{จราจร},แขวงบางชัน,เขตคลองสามวา,2
2022-GPTGLY,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/4e7368c573926f922f463ca9b08fffd9db582c80.jpg,13.78422,100.6871,2022-06-01 07:03:47.344917+00:00,{จราจร},แขวงสะพานสูง,เขตสะพานสูง,12
2022-L437EQ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/46bcecb8777484a805d8ace54764d8fbdc95310f.jpg,13.83082,100.61676,2022-06-01 09:06:13.336925+00:00,{จราจร},แขวงลาดพร้าว,เขตลาดพร้าว,6
2022-82ZLA7,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/ef11322b8927247c77ab614f24cb62923aebd181.jpg,13.67576,100.62404,2022-06-01 10:41:02.259274+00:00,"{จราจร,ถนน}",แขวงบางนา,เขตบางนา,6
2022-6D33R2,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/82dec24da647a52c0ec15b28c6800cc286b04065.jpg,13.72868,100.53469,2022-06-01 10:43:32.391752+00:00,"{จราจร,ถนน,ความปลอดภัย}",แขวงสีลม,เขตบางรัก,4
2022-CAU69Z,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/0ba2a6703485bbab3acdddfc42c197ea33fdc90d.jpg,13.71769,100.78546,2022-06-01 10:59:26.919500+00:00,{จราจร},แขวงลาดกระบัง,เขตลาดกระบัง,6
2022-HK7GHV,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/d03d190ec0b0c178e30d590793d04ff9e72b2c4f.jpg,13.71752,100.78536,2022-06-01 11:05:50.451001+00:00,"{จราจร,ถนน}",แขวงลาดกระบัง,เขตลาดกระบัง,11
2022-92R72Q,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/362106e651867a4b4994f1223df90ab92f7340a8.jpg,13.84042,100.6965,2022-06-01 11:52:01.916080+00:00,{จราจร},แขวงบางชัน,เขตคลองสามวา,5
2022-3RZVWR,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/740832309b85d12d80dad94de92fa008f02a0ff0.jpg,13.84023,100.69647,2022-06-01 11:53:11.401388+00:00,{จราจร},แขวงบางชัน,เขตคลองสามวา,5
2022-EH3UXY,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/1a29af82ba1e455fa9e6cc929c95572ecc13c02a.jpg,13.75606,100.48346,2022-06-01 12:13:37.057852+00:00,{จราจร},แขวงศิริราช,เขตบางกอกน้อย,1
2022-A7Y48G,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/1cdad0edb9b6755d843487fdf0eaa43b6f4510b6.jpg,13.74965,100.39513,2022-06-01 12:39:48.246136+00:00,"{กีดขวาง,จราจร}",แขวงบางไผ่,เขตบางแค,4
2022-4LP7UG,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/895035f052e17af9cf90c7cc9b2f8791ba974681.jpg,13.84542,100.60117,2022-06-01 12:55:32.878889+00:00,{จราจร},แขวงจรเข้บัว,เขตลาดพร้าว,3
